date,Equal weight,12-1 momentum,Momentum inverse vol,Momentum regime filter
2011-01-03,1.0,1.0,1.0,1.0
2011-01-04,1.0,1.0,1.0,1.0
2011-01-05,1.0,1.0,1.0,1.0
2011-01-06,1.0,1.0,1.0,1.0
2011-01-07,1.0,1.0,1.0,1.0
2011-01-10,1.0,1.0,1.0,1.0
2011-01-11,1.0,1.0,1.0,1.0
2011-01-12,1.0,1.0,1.0,1.0
2011-01-13,1.0,1.0,1.0,1.0
2011-01-14,1.0,1.0,1.0,1.0
2011-01-18,1.0,1.0,1.0,1.0
2011-01-19,1.0,1.0,1.0,1.0
2011-01-20,1.0,1.0,1.0,1.0
2011-01-21,1.0,1.0,1.0,1.0
2011-01-24,1.0,1.0,1.0,1.0
2011-01-25,1.0,1.0,1.0,1.0
2011-01-26,1.0,1.0,1.0,1.0
2011-01-27,1.0,1.0,1.0,1.0
2011-01-28,1.0,1.0,1.0,1.0
2011-01-31,1.0,1.0,1.0,1.0
2011-02-01,1.0092479442602975,1.0,1.0,1.0
2011-02-02,1.0075255464124597,1.0,1.0,1.0
2011-02-03,1.0097526845612774,1.0,1.0,1.0
2011-02-04,1.0093171695848289,1.0,1.0,1.0
2011-02-07,1.012362126191036,1.0,1.0,1.0
2011-02-08,1.0162792532852125,1.0,1.0,1.0
2011-02-09,1.0141191387274493,1.0,1.0,1.0
2011-02-10,1.0134003786521153,1.0,1.0,1.0
2011-02-11,1.0169792912636624,1.0,1.0,1.0
2011-02-14,1.019639057981874,1.0,1.0,1.0
2011-02-15,1.0175656472894632,1.0,1.0,1.0
2011-02-16,1.0216669076889984,1.0,1.0,1.0
2011-02-17,1.0267902846122472,1.0,1.0,1.0
2011-02-18,1.0289369296069768,1.0,1.0,1.0
2011-02-22,1.019912476286319,1.0,1.0,1.0
2011-02-23,1.019713396019876,1.0,1.0,1.0
2011-02-24,1.0166412143723607,1.0,1.0,1.0
2011-02-25,1.0282781143753754,1.0,1.0,1.0
2011-02-28,1.0327694719322285,1.0,1.0,1.0
2011-03-01,1.0269922960763573,1.0,1.0,1.0
2011-03-02,1.0289008684641598,1.0,1.0,1.0
2011-03-03,1.037431708921475,1.0,1.0,1.0
2011-03-04,1.0377049903993039,1.0,1.0,1.0
2011-03-07,1.0322069795597912,1.0,1.0,1.0
